division,date,unemployment
Camden,2001/1/1,3.5
Camden,2001/2/1,3.5
Camden,2001/3/1,3.5
Camden,2001/4/1,3.6
Camden,2001/5/1,3.7
Camden,2001/6/1,3.8
Camden,2001/7/1,3.9
Camden,2001/8/1,4.1
Camden,2001/9/1,4.3
Camden,2001/10/1,4.5
Camden,2001/11/1,4.6
Camden,2001/12/1,4.8
Camden,2002/1/1,5
Camden,2002/2/1,5.1
Camden,2002/3/1,5.2
Camden,2002/4/1,5.3
Camden,2002/5/1,5.4
Camden,2002/6/1,5.4
Camden,2002/7/1,5.4
Camden,2002/8/1,5.4
Camden,2002/9/1,5.5
Camden,2002/10/1,5.5
Camden,2002/11/1,5.5
Camden,2002/12/1,5.6
Camden,2003/1/1,5.6
Camden,2003/2/1,5.6
Camden,2003/3/1,5.5
Camden,2003/4/1,5.6
Camden,2003/5/1,5.6
Camden,2003/6/1,5.6
Camden,2003/7/1,5.6
Camden,2003/8/1,5.5
Camden,2003/9/1,5.4
Camden,2003/10/1,5.3
Camden,2003/11/1,5.2
Camden,2003/12/1,5.2
Camden,2004/1/1,5.1
Camden,2004/2/1,5.1
Camden,2004/3/1,5
Camden,2004/4/1,5
Camden,2004/5/1,4.9
Camden,2004/6/1,4.8
Camden,2004/7/1,4.7
Camden,2004/8/1,4.6
Camden,2004/9/1,4.5
Camden,2004/10/1,4.4
Camden,2004/11/1,4.4
Camden,2004/12/1,4.3
Camden,2005/1/1,4.3
Camden,2005/2/1,4.3
Camden,2005/3/1,4.2
Camden,2005/4/1,4.2
Camden,2005/5/1,4.2
Camden,2005/6/1,4.1
Camden,2005/7/1,4.2
Camden,2005/8/1,4.3
Camden,2005/9/1,4.4
Camden,2005/10/1,4.5
Camden,2005/11/1,4.6
Camden,2005/12/1,4.7
Camden,2006/1/1,4.7
Camden,2006/2/1,4.7
Camden,2006/3/1,4.7
Camden,2006/4/1,4.8
Camden,2006/5/1,4.8
Camden,2006/6/1,4.9
Camden,2006/7/1,4.8
Camden,2006/8/1,4.8
Camden,2006/9/1,4.7
Camden,2006/10/1,4.6
Camden,2006/11/1,4.5
Camden,2006/12/1,4.4
Camden,2007/1/1,4.3
Camden,2007/2/1,4.3
Camden,2007/3/1,4.2
Camden,2007/4/1,4.2
Camden,2007/5/1,4.3
Camden,2007/6/1,4.3
Camden,2007/7/1,4.3
Camden,2007/8/1,4.4
Camden,2007/9/1,4.4
Camden,2007/10/1,4.5
Camden,2007/11/1,4.6
Camden,2007/12/1,4.7
Camden,2008/1/1,4.7
Camden,2008/2/1,4.8
Camden,2008/3/1,4.8
Camden,2008/4/1,4.9
Camden,2008/5/1,5.1
Camden,2008/6/1,5.2
Camden,2008/7/1,5.4
Camden,2008/8/1,5.7
Camden,2008/9/1,5.9
Camden,2008/10/1,6.3
Camden,2008/11/1,6.7
